"odkaz";"nazev";"vyucujici";"predmet";"tyden";"keywords";"typ";"kod";"poznamky";"origolink";"nahrazeno"
"https://web.microsoftstream.com/video/d4502186-6352-4499-8805-47beb1aa3ac4";"Definice a základní veličiny";"Pavel Vrbka";"Fyzikální chemie I";1;"definice,základní veličiny,základní jednotky,složení směsí,stavová rovnice ideálního plynu,reálný plyn,Van der Waalsova rovnice,kompresibilitní faktor,směs ideálních plynů,Daltonův zákon,VDW";"přednáška";"B403003";;"https://web.microsoftstream.com/video/d4502186-6352-4499-8805-47beb1aa3ac4";
"https://web.microsoftstream.com/video/42ee1096-7e45-4d56-a2ca-4c138bf9bf84";"Termodynamika";"Pavel Vrbka";"Fyzikální chemie I";2;"termodynamika,teplo,práce,vratný děj,nevratný děj,1. termodynamický zákon,entalpie,tepelná kapacita";"přednáška";"B403003";;"https://web.microsoftstream.com/video/42ee1096-7e45-4d56-a2ca-4c138bf9bf84";
"https://web.microsoftstream.com/video/d6377433-4024-4fef-acff-6acc824dcdc0";"Termochemie";"Pavel Vrbka";"Fyzikální chemie I";3;"adiabatický děj,Poissonovy rovnice,termochemie,reakční entalpie,Hessův zákon,slučovací entalpie,spalná entalpie,Kirchhoffův vztah";"přednáška";"B403003";;"https://web.microsoftstream.com/video/d6377433-4024-4fef-acff-6acc824dcdc0";
"https://web.microsoftstream.com/video/45ea4cac-d124-43f1-bb2f-4db743252e06";"1. a 2.termodynamický zákon";"Pavel Vrbka";"Fyzikální chemie I";4;"entropie,2. termodynamický zákon,spojené formulace termodynamických vět,Helmholtzova energie,Gibbsova energie,Maxwellovy rovnice";"přednáška";"B403003";;"https://web.microsoftstream.com/video/45ea4cac-d124-43f1-bb2f-4db743252e06";
"https://web.microsoftstream.com/video/6f71e675-31ca-494d-9ca2-d0377fa794c1";"3. termodynamický zákon";"Pavel Vrbka";"Fyzikální chemie I";5;"tepelný stroj,Carnotův cyklus,účinnost tepelných strojů,3. termodynamický zákon,termodynamika směsí,ideální směs,reálná směs,dodatkové veličiny,parciální molární veličiny,Gibbsova energie směsi,chemický potenciál,aktivita,standardní stav";"přednáška";"B403003";;"https://web.microsoftstream.com/video/6f71e675-31ca-494d-9ca2-d0377fa794c1";
"https://web.microsoftstream.com/video/459f56da-7bfc-462a-99c7-8566685a221c";"Doplněk k termodynamickým zákonům (směsi)";"Pavel Vrbka";"Fyzikální chemie I";5;"termodynamika směsí,ideální směs,směšovací veličiny,reálná směs,dodatkové veličiny,parciální molární veličiny,Gibbsova energie směsi,parciální molární Gibbsova energie";"přednáška";"B403003";;"https://web.microsoftstream.com/video/459f56da-7bfc-462a-99c7-8566685a221c";
"https://web.microsoftstream.com/video/de2532d2-f844-4a55-a1f0-a7d1d0615abc";"Fázové rovnováhy – úvod";"Pavel Vrbka";"Fyzikální chemie I";6;"chemická rovnováha,Gibbsův fázový zákon,fázová rovnováha,Clapeyronova rovnice,Clausiova–Clapeyronova rovnice,tlak nasycených par,Antoineova rovnice";"přednáška";"B403003";;"https://web.microsoftstream.com/video/de2532d2-f844-4a55-a1f0-a7d1d0615abc";
"https://web.microsoftstream.com/video/4b4b9637-f3d1-459a-9a8a-33a960eea64b";"Rovnováha kapalina–pára";"Pavel Vrbka";"Fyzikální chemie I";7;"rovnováha kapalina-pára,celkový tlak par,p-x-y diagram,T-x-y diagram,x-y diagram,rozpustnost plynů,fázová rovnováha kapalina-kapalina,pákové pravidlo";"přednáška";"B403003";;"https://web.microsoftstream.com/video/4b4b9637-f3d1-459a-9a8a-33a960eea64b";
"https://web.microsoftstream.com/video/b25196eb-c2cb-4a7e-800a-cd9dc60f23e0";"Rovnováha kapalina–kapalina";"Pavel Vrbka";"Fyzikální chemie I";8;"rovnováha kapalina-kapalina,extrakce,Nernstův rozdělovací koeficient,rovnováha kapalina(tavenina)-tuhá fáze,dvousložková směs,eutektický bod";"přednáška";"B403003";;"https://web.microsoftstream.com/video/b25196eb-c2cb-4a7e-800a-cd9dc60f23e0";
"https://web.microsoftstream.com/video/a51b93da-4871-4b08-bdf8-654b5b9bc3de";"Chemická rovnováha – reakční Gibbsova energie a aktivity";"Pavel Vrbka";"Fyzikální chemie I";9;"chemická rovnováha,reakční Gibbsova energie,rovnovážná konstanta,standardní stav,rozsah reakce,stupeň přeměny,směr reakce,ovlivnění rovnováhy,teplotní závislost rovnovážné konstanty";"přednáška";"B403003";;"https://web.microsoftstream.com/video/a51b93da-4871-4b08-bdf8-654b5b9bc3de";
